GeneID,CH323,CH572,CH300,CH269,CH290,CH150,CH704,CH188B,CH274,CH198,CH315,CH235,CH339,CH308,CH172A,CH188A,CH328,CH727,CH295,CH288,CH722,CH172B
ENST00000680254.NAXD.12,32.8924,38.9543,21.953,32.9608,74.6959,2.23E-05,90.9689,49.3272,8.18288,24.4039,37.4348,35,15,63.2177,171.673,99.3841,39.9401,46.3265,54.8511,40.6387,48.9672,14.0111
ENST00000505024.CFAP100.97,0,2,0,2.5,4,0.5,1,1,0.5,0.5,0.5,0,1.5,0,5.5,1.5,0,1.5,2,2.5,4,1
ENST00000382862.MSLN.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000380995.TBC1D22A.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000678443.CTSA.30,49.2382,54.9016,23.1899,51.3178,94.5519,32.4632,71.7175,14.754,6.45753,73.1206,21.4485,26.4154,8.25323,24.1759,71.9551,40.0576,13.6168,25.96,76.5818,27.5884,116.582,11.6532
ENST00000643231.TSEN15.39,10.5133,18.1766,1.12809,12.2515,18.7391,3.64917,17.0109,6.65967,12.9396,12.6276,4.53193,3,1.22215,6,8.73035,26.6232,5.74023,13.529,15.7424,23.2627,6.61746,0
ENST00000515312.ZFYVE28.24,6,0,4.97739,2,0,1.14892,0,2.97795,0,1.24357,0,1,0,1.23754,6.8144,0,4,2.48594,3,0,7.38407,1.2414
ENST00000455798.TSEN34.43,14.7406,23.5738,9.18915,10.0659,31.4527,9.41945,24.3167,21.2295,15.3234,17.3315,5.88373,4.33333,4,13.5107,49.4676,53.7878,3.91825,12.2575,8.63138,23.5082,35.637,8.41519
ENST00000398101.MGLL.97,26.1607,183.71,176.439,215.143,69.8436,303.588,62.1272,232.331,184.389,177.416,157.929,179.46,27.9527,641.095,272.255,369.463,145.258,0,127.322,26.197,5.9667,59.431
ENST00000344911.NTN4.42,0,4,1,0,0,0,1,0,0,0,0,0,0,1,11,2,0,0,1,0,0,0
