,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP5IF1,2379.874537894043,1.3795376587401242,0.41310129011051167,4.015956527570144,5.9205169419187284e-05,0.014885099815192756
DCK,150.19996537282393,1.3377949207304753,0.40009744382254575,4.03269312267845,5.514126673810573e-05,0.014885099815192756
NVL,1685.6697320129492,1.2799597730259746,0.3714903209818997,4.100337451386964,4.125481254156888e-05,0.014885099815192756
GHITM,17442.25271904523,1.2744258690687393,0.38223881478589217,3.976385387782617,6.997069797176163e-05,0.014885099815192756
TRIM23,1617.2184816156114,1.1816277228733456,0.3574082644197889,3.9789207477278703,6.92288110547618e-05,0.014885099815192756
KPTN,145.70335367938,1.1585524762930766,0.3453306509987533,4.028046967359723,5.6242109850353316e-05,0.014885099815192756
SMIM14,331.8840601069958,1.1292911365421867,0.3389870598593959,4.001446145144064,6.295652531852904e-05,0.014885099815192756
NUP133,623.0828418156269,1.0158833410250052,0.30333448429994675,4.002141827740747,6.277165026857873e-05,0.014885099815192756
PSMD14,251.6185174671913,1.005977994110275,0.30254962158464455,3.9866945410856562,6.700019400734394e-05,0.014885099815192756
FAM228A,80.77976641803734,1.8250478567569173,0.5879654227037374,3.862608208999377,0.00011218284733650317,0.015567570721078861
CD68,651.7185220410081,1.4648260462634275,0.4679008834973246,3.857906199326429,0.00011436251822898812,0.015567570721078861
PRSS27,87.92140871604855,1.4356876113876997,0.4646360169581864,3.8372950437909537,0.00012439698094962202,0.015567570721078861
SNCA,56448.031963131296,1.3649739962922223,0.4184162732004502,3.9214111607539897,8.803190451485036e-05,0.015567570721078861
UBE2B,4452.64625200007,1.3637874233982912,0.4377880347448109,3.8325084155805897,0.0001268432587740678,0.015567570721078861
CXorf38,2035.4358662443003,1.3085288084280418,0.41194084969062805,3.8829847917676075,0.00010318202396703076,0.015567570721078861
TTC7B,983.2648427674536,1.3058684249720975,0.41957370654970366,3.8352332460667347,0.00012544519031808558,0.015567570721078861
MACROH2A1,5453.234097492017,1.2830100224198886,0.4094985168807061,3.836422884011456,0.0001248393717465061,0.015567570721078861
WDR45,1206.0088149330727,1.2821042891644356,0.39873702537207095,3.9136582489262457,9.090827505048345e-05,0.015567570721078861
MAP1LC3B,7431.370935408832,1.2694374826386758,0.40647419854095757,3.838185672615615,0.0001239467473270219,0.015567570721078861
RNF144A,427.69764965441163,1.2280242910238173,0.3863027872020484,3.884425946412107,0.00010257194929926168,0.015567570721078861
FAXDC2,482.9213707155992,1.2241733484122221,0.38305746840140353,3.8976358124918096,9.713634847148238e-05,0.015567570721078861
H3-3A,51497.08128666503,1.220249849672075,0.37555667522441427,3.9245557049769304,8.68899522551579e-05,0.015567570721078861
TMC8,7304.154913494538,1.196534453864827,0.36627578627812835,3.933420623348681,8.374550244650692e-05,0.015567570721078861
RBX1,2608.706417842235,1.1718701051725589,0.3689855604944567,3.87004434393124,0.00010881555877013287,0.015567570721078861
C1D,96.27144012444381,1.1504097843232997,0.3682984012580305,3.849840025620935,0.00011819499675011471,0.015567570721078861
ATP5PB,1317.5515378073226,1.1000252723427937,0.3465131136623688,3.867440462594566,0.00010998366885936668,0.015567570721078861
