"Site","Site_old","County","Country","Lon","Lat","Ind","Het_outside_ROH","Het_inc_ROH","Segments_in_ROH_%","Avg_length_of_ROH","Ho_variants","nightlight","broadleaf_woodland","all_woodland","arable","urban","woodland_dist","bio12","bio5","cmi"
"NW2","CRA","Gwynedd","Wales",-4.087,53.021,"CRA06",0.0021034,0.0020974,0.237756,1666670,0.0991906978013729,9.69077182657578,9.84615384615385,9.84615384615385,0.461538461538462,1,106.964640071973,1814.5,17.75,86.1999969482422
"NW2","CRA","Gwynedd","Wales",-4.087,53.021,"CRA07",0.0020488,0.0020325,0.237869,1666670,0.0979754551144249,9.69077182657578,9.84615384615385,9.84615384615385,0.461538461538462,1,106.964640071973,1814.5,17.75,86.1999969482422
"NW2","CRA","Gwynedd","Wales",-4.087,53.021,"CRA08",0.0021469,0.0021626,0.237756,1666670,0.107318861238952,9.69077182657578,9.84615384615385,9.84615384615385,0.461538461538462,1,106.964640071973,1814.5,17.75,86.1999969482422
"NW2","CRA","Gwynedd","Wales",-4.087,53.021,"CRA09",0.0020291,0.0020326,0.237756,1666670,0.0921951770486248,9.69077182657578,9.84615384615385,9.84615384615385,0.461538461538462,1,106.964640071973,1814.5,17.75,86.1999969482422
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN01",0.0023312,0.0023517,0.190295,1333330,0.159196524148353,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN02",0.0023943,0.0023855,0.237756,1666670,0.171087084528746,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN03",0.0023564,0.0023464,0.237756,1666670,0.162221012520414,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN04",0.0023935,0.0023642,0.237756,1666670,0.154238538645499,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN05",0.0022057,0.0021912,0.237756,1666670,0.114162085669188,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN06",0.0021841,0.0021858,0.237756,1666670,0.10439430424676,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN07",0.0022405,0.0022433,0.237756,1666670,0.134161928113099,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN08",0.0022764,0.0022744,0.237756,1666670,0.151249379447294,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN09",0.0023138,0.0023209,0.237756,1666670,0.160465086855856,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN10",0.0022636,0.0022493,0.237756,1666670,0.160725350598768,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN11",0.0021851,0.0021961,0.237756,1666670,0.153015005440421,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"SO4","HEN","Somerset","England",-2.641,50.934,"HEN12",0.0021703,0.0021505,0.237756,1666670,0.170723183304626,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID01",0.0021416,0.0021252,0.190204,1333330,0.128716647160159,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID02",0.0022107,0.0022013,0.237756,1666670,0.132500685888977,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID03",0.00209,0.0020903,0.237756,1666670,0.112976253226831,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID04",0.0021471,0.0021563,0.237756,1666670,0.11137156563454,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID05",0.002199,0.0022042,0.237756,1666670,0.167252354213824,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID06",0.0022306,0.0022165,0.237756,1666670,0.106421561163328,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID07",0.0021009,0.0020966,0.237756,1666670,0.119193760218714,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID08",0.0021702,0.0021468,0.190295,1333330,0.123797238419923,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID09",0.0022433,0.0022397,0.237756,1666670,0.137321796884121,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID10",0.0019959,0.0020003,0.190295,1333330,0.12300785634119,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"GL1","HID","Gloucestershire","England",-1.744,52.084,"HID12",0.0021783,0.0021576,0.237756,1666670,0.134037399729138,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN01",0.0021843,0.0021957,0.237756,1666670,0.15451351725701,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN02",0.0019794,0.0019681,0.237756,1666670,0.14109522094758,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN03",0.002135,0.0021179,0.237756,1666670,0.129665396460824,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN04",0.00211,0.0021032,0.237756,1666670,0.10895199216649,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN05",0.0020277,0.0020134,0.190295,1333330,0.0994659452488751,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN06",0.0017008,0.001666,0.0952381,1500000,0.0751684593814088,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN07",0.0019893,0.0019816,0.142789,1500000,0.100741985160297,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN08",0.0020974,0.0021088,0.237756,1666670,0.130714505855763,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN09",0.0020691,0.0020481,0.237756,1666670,0.143758105943087,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN10",0.0020933,0.0020816,0.237756,1666670,0.106060815003792,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN11",0.0020548,0.002035,0.237756,1500000,0.102055111160921,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"CO1","LAN","Cornwall","England",-4.694,50.437,"LAN12",0.0020198,0.0020098,0.190295,1333330,0.0863831287082183,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR01",0.0023681,0.002375,0.237869,1666670,0.113499281310031,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR02",0.0024343,0.0024264,0.237756,1666670,0.107073862468659,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR03",0.0024823,0.0024786,0.237756,1666670,0.142662694540038,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR04",0.0024043,0.0023732,0.237869,1666670,0.124545575162532,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR05",0.0022672,0.0022667,0.237756,1666670,0.0947915766427563,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR06",0.0023658,0.0023548,0.237756,1666670,0.107491721854305,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR07",0.0024799,0.0024617,0.237869,1666670,0.132046544539665,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR08",0.0023432,0.0023405,0.237869,1666670,0.120631386959204,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR09",0.0021751,0.0021705,0.237756,1666670,0.12599009245278,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR10",0.0023633,0.0023589,0.237756,1666670,0.111526761489764,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR11",0.0024517,0.0024436,0.237869,1666670,0.14359033726943,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"DE3","PAR","Devon","England",-3.689,50.595,"PAR12",0.0023442,0.0023451,0.237869,1666670,0.115002514236012,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN01",0.0021185,0.0020898,0.237756,1666670,0.135584555017319,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN02",0.0021142,0.0021116,0.237756,1666670,0.140180705184731,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN03",0.002161,0.0021339,0.237756,1666670,0.150404611183126,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN04",0.0020738,0.0020542,0.237756,1666670,0.117123269680334,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN05",0.0019587,0.0019712,0.190295,1333330,0.0995584322975234,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN06",0.0019718,0.0019732,0.190295,1500000,0.0920735900962861,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN07",0.0020087,0.0020181,0.237756,1500000,0.104821399086356,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN08",0.0020161,0.0020119,0.142721,1500000,0.0978076388986296,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN09",0.002076,0.0020979,0.190295,1333330,0.150105814773758,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN10",0.0020682,0.0020277,0.237756,1666670,0.125047080979284,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN11",0.0020553,0.0020436,0.237756,1666670,0.133112456196241,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"CO2","PEN","Cornwall","England",-5.11,50.135,"PEN12",0.0019547,0.0019668,0.142789,1333330,0.101352746088321,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,"PYS01",0.0022982,0.0023121,0.237756,1666670,0.135332094932516,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,"PYS02",0.0022123,0.0022025,0.237756,1666670,0.13646784483775,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,"PYS03",0.0022464,0.0022491,0.237756,1666670,0.166357715430862,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,"PYS04",0.0023278,0.0023128,0.237869,1666670,0.12045236317081,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,"PYS05",0.0022073,0.0022046,0.237756,1666670,0.133326324918856,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,"PYS06",0.0022058,0.0021891,0.237756,1666670,0.114679770857655,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605
